종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"229640","LS에코에너지","KOSPI",,"35800","100","0.28","35700","36150","35650","43162","1546672475","1096370668200","30624879"
"078020","LS증권","KOSDAQ","우량기업부","4890","25","0.51","4860","4930","4840","30026","146984775","271303019100","55481190"
"322180","LS티라유텍","KOSDAQ","벤처기업부","7850","410","5.51","7440","8060","7370","359007","2803207300","164237574400","20921984"
"108320","LX세미콘","KOSPI",,"50700","100","0.20","50800","50800","50400","18102","915392250","824600010000","16264300"
"001120","LX인터내셔널","KOSPI",,"32650","-150","-0.46","33200","33200","32575","35649","1171224775","1265514000000","38760000"
"108670","LX하우시스","KOSPI",,"29300","50","0.17","29550","29750","29250","17754","522369150","262752731000","8967670"
"108675","LX하우시스우","KOSPI",,"17440","100","0.58","17240","17480","17230","1046","18184400","18003835200","1032330"
"383800","LX홀딩스","KOSPI",,"8150","90","1.12","8100","8210","8100","100211","818149155","621687623500","76280690"
"38380K","LX홀딩스1우","KOSPI",,"8800","80","0.92","8810","8930","8720","1840","16099140","12894508000","1465285"
"476080","M83","KOSDAQ","중견기업부","9660","80","0.84","9540","9750","9540","17967","173231015","77637420000","8037000"
"086960","MDS테크","KOSDAQ","중견기업부","1344","54","4.19","1303","1361","1303","1010554","1358015871","129996013056","96723224"
"023150","MH에탄올","KOSPI",,"5060","30","0.60","5070","5070","4990","334","1686180","37335341560","7378526"
"035420","NAVER","KOSPI",,"237000","1500","0.64","238500","239000","236500","369894","87836595000","37174075206000","156852638"
"160550","NEW","KOSDAQ","중견기업부","2070","-20","-0.96","2130","2130","2060","33702","69832210","57765639420","27906106"
"053290","NE능률","KOSDAQ","투자주의환기종목(소속부없음)","1812","1","0.06","1811","1829","1809","13440","24364303","29945668284","16526307"
"181710","NHN","KOSPI",,"30000","1200","4.17","28850","31000","28850","63477","1890828850","982594170000","32753139"
"060250","NHN KCP","KOSDAQ","우량기업부","15510","620","4.16","15220","15570","15170","219812","3389248120","622891076610","40160611"
"104200","NHN벅스","KOSDAQ","중견기업부","3165","65","2.10","3110","3185","3090","63336","198359325","46929195750","14827550"
"400760","NH올원리츠","KOSPI",,"3530","-10","-0.28","3525","3550","3505","68480","240813928","193900340750","54929275"
"005940","NH투자증권","KOSPI",,"21250","250","1.19","21100","21500","21050","287969","6137473825","7572317841250","356344369"
"005945","NH투자증권우","KOSPI",,"19470","70","0.36","19400","19570","19400","27581","537898335","367417746960","18870968"
"338100","NH프라임리츠","KOSPI",,"4470","5","0.11","4495","4495","4460","13523","60464232","83410200000","18660000"
"034310","NICE","KOSPI",,"13650","-20","-0.15","13880","13940","13620","54267","747497615","501735193050","36757157"
"063570","NICE인프라","KOSDAQ","우량기업부","4280","15","0.35","4250","4320","4250","12316","52736227","146152275840","34147728"
"030190","NICE평가정보","KOSPI",,"17420","-170","-0.97","17500","17970","17360","32229","565344300","1026238800340","58911527"
"008260","NI스틸","KOSPI",,"3670","-25","-0.68","3690","3695","3655","15765","57711745","104962429390","28600117"
"004250","NPC","KOSPI",,"3940","0","0.00","3940","3970","3930","8479","33437697","144676800000","36720000"
"004255","NPC우","KOSPI",,"2585","20","0.78","2580","2590","2550","7121","18312610","13648800000","5280000"
"222160","NPX","KOSDAQ","관리종목(소속부없음)","8040","0","0.00","0","0","0","0","0","79551289560","9894439"
"456040","OCI","KOSPI",,"61900","1900","3.17","60900","62100","60900","43245","2671968650","554159440500","8952495"
"010060","OCI홀딩스","KOSPI",,"115300","500","0.44","116700","116700","114000","58598","6745511150","2152677749600","18670232"
"178920","PI첨단소재","KOSPI",,"16130","280","1.77","15940","16170","15930","13386","214876650","473678773860","29366322"
